COSMIC_GENE_ID	LEGACY_GENE_ID	GENE_SYMBOL	GENE_ACCESSION	ENTREZ_ID	HGNC_ID	IN_CANCER_CENSUS	IS_EXPERT_CURATED
COSG60323	COSG455977	LINC01075	ENSG00000230142.2		49118	n	n
COSG60345	COSG75306	C2CD2	ENSG00000157617.16	25966	1266	n	n
COSG58641	COSG67168	DUPD1	ENSG00000188716.5	338599	23481	n	n
COSG58672	COSG410635	RN7SKP236	ENSG00000274662.1		45960	n	n
COSG58677	COSG510539	SNX18P25	ENSG00000249337.2		39633	n	n
COSG58689	COSG594921	AC008277.1	ENSG00000223642.7			n	n
COSG61495	COSG425821	AL138785.1	ENSG00000225616.2			n	n
COSG61508	COSG5783	TRPA1	ENSG00000104321.10	8989	497	n	n
COSG61533	COSG458407	FAM201B	ENSG00000230992.3		27933	n	n
COSG61548	COSG63411	GPT2	ENSG00000166123.13	84706	18062	n	n
COSG61552	COSG633433	AL021920.3	ENSG00000282740.1			n	n
COSG61553	COSG612905	JRK	ENSG00000234616.8	8629	6199	n	n
COSG60363	COSG392499	CRYGS	ENSG00000213139.7	1427	2417	n	n
COSG60366	COSG615430	CLEC18A	ENSG00000157322.17	348174	30388	n	n
COSG60372	COSG1023	GNAT1	ENSG00000114349.9	2779	4393	n	n
