COSMIC_PHENOTYPE_ID	PRIMARY_SITE	SITE_SUBTYPE_1	SITE_SUBTYPE_2	SITE_SUBTYPE_3	PRIMARY_HISTOLOGY	HISTOLOGY_SUBTYPE_1	HISTOLOGY_SUBTYPE_2	HISTOLOGY_SUBTYPE_3	NCI_CODE	EFO
COSO105566407	haematopoietic_and_lymphoid_tissue	middle_ear	NS	NS	haematopoietic_neoplasm	mast_cell_neoplasm	mast_cell_sarcoma	NS	C9348	http://www.ebi.ac.uk/efo/EFO_1000364
COSO525111318	haematopoietic_and_lymphoid_tissue	mediastinum	NS	NS	haematopoietic_neoplasm	granulocytic_sarcoma	NS	NS	C35815	http://www.ebi.ac.uk/efo/EFO_1000286
COSO326310404	upper_aerodigestive_tract	sinonasal_and_nasal_cavity	sinus	paranasal	carcinoma	large_cell_neuroendocrine_carcinoma	NS	NS	C173091	
COSO983322207	soft_tissue	fat	scalp	NS	Overgrowth_syndrome	encephalocraniocutaneous_lipomatosis	NS	NS	C4701	http://purl.obolibrary.org/obo/MONDO_0013074
COSO328218571	skin	neck	NS	NS	adnexal_tumour	malignant_adnexal_tumour	spiradenocarcinoma	NS	C5117	
COSO37075257	central_nervous_system	spinal_cord	NS	NS	glioma	NS	NS	NS	C4534	http://purl.obolibrary.org/obo/MONDO_0002542
COSO318819646	soft_tissue	smooth_muscle	retroperitoneum	NS	leiomyoma	leiomyomatosis	NS	NS	C3748	http://purl.obolibrary.org/obo/MONDO_0003295
COSO554219633	haematopoietic_and_lymphoid_tissue	extranodal	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_of_the_elderly	EBV_positive	NS	C80281	http://purl.obolibrary.org/obo/MONDO_0017346
COSO61835237	central_nervous_system	basal_ganglia	NS	NS	glioma	astrocytoma_Grade_II	fibrillary	NS	C4322	http://www.ebi.ac.uk/efo/EFO_0000272
COSO58716152	soft_tissue	fat	abdomen	NS	liposarcoma	well_differentiated	NS	NS	C4250	http://www.ebi.ac.uk/efo/EFO_0000736
COSO573820552	soft_tissue	fibrous_tissue_and_uncertain_origin	leg	NS	myoepithelial_carcinoma	NS	NS	NS	C7596	http://purl.obolibrary.org/obo/MONDO_0003158
COSO1119820158	haematopoietic_and_lymphoid_tissue	jaw	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	endemic_variant	NS	C27122	
COSO110856091	skin	mucosal	pharynx	NS	malignant_melanoma	nodular	NS	NS	C178521	
COSO1045119003	soft_tissue	blood_vessel	retroperitoneum	NS	haemangioendothelioma	kaposiform	NS	NS	C27510	http://purl.obolibrary.org/obo/MONDO_0016236
COSO372522009	soft_tissue	fibrous_tissue_and_uncertain_origin	upper_leg	NS	dermatofibrosarcoma_protuberans	fibrosarcomatous	transformed_to_fibrosarcoma	NS	C27547	
COSO322221758	salivary_gland	parotid	NS	NS	carcinoma	hybrid_salivary_gland_carcinoma	mucoepidermoid_carcinoma_and_basal_cell_adenoma	NS	C181078	
COSO33126117	skin	eye	NS	NS	benign_melanocytic_nevus	intradermal	NS	NS	C3804	
COSO292921652	upper_aerodigestive_tract	sinonasal_and_nasal_cavity	NS	NS	other	intestinal_metaplasia	NS	NS	C8360	
COSO1119122004	soft_tissue	blood_vessel	inguinal	NS	Kaposi_sarcoma	classic	NS	NS	C9112	
COSO331222000	skin	eye	NS	NS	adnexal_tumour	malignant_adnexal_tumour	endocrine_mucin-producing_sweat_gland_carcinoma	NS	C167364	
COSO1004911100	soft_tissue	striated_muscle	skull	NS	rhabdomyosarcoma	embryonal	spindle_cell	NS	C6519	http://purl.obolibrary.org/obo/MONDO_0002581
